K,coherence_cv
7,0.7743997550497095
8,0.711966731154358
9,0.7832344267409304
10,0.7631726651819294
11,0.7547815624329307
12,0.7228758974535022
13,0.7010399703959108
14,0.7102227491676397
15,0.7040805637208589
