K,coherence_cv,topic_diversity
5,0.6617212877115379,1.0
7,0.6491882681869052,0.9714285714285714
10,0.7113970416870644,0.93
12,0.7100737033413855,0.9
15,0.7029260155904552,0.8933333333333333
