topic_id,num_docs,top_words
0,29,"nombre, eta, eissn, cantabria, cueva, izan, yacimiento, dira, restos, bat"
1,320,"nombre, yacimiento, bronce, neolítico, cueva, parte, restos, excavación, materiales, cova"
2,118,"nombre, spain, neolithic, human, remains, mesolithic, iberia, portugal, cal, dates"
3,39,"nombre, lisboa, neolítico, portugal, estudos, memórias, antas, região, ocupação, radiocarbono"
