topic_id,num_docs,top_words
0,428,"the, picture, intentionally, omitted, resto, material, él, yacimiento, cal, fragmento"
1,63,"the, que, del, picture, and, los, intentionally, las, neolítico, por"
2,13,"omit, picture, intentionally, que, los, del, las, una, como, por"
