topic_id,num_docs,top_words
0,23,"nombre, lisboa, neolítico, estudos, memórias, antas, portugal, região, campaniforme, cueva"
1,483,"nombre, yacimiento, spain, neolithic, bronce, cueva, cal, neolítico, bronze, human"
