topic_id,num_docs,top_words
0,18,"mllpasador, santanyí, , , , , , , , "
1,62,"que, del, los, las, neolítico, por, the, como, material, una"
2,433,"the, resto, material, él, and, yacimiento, cal, nivel, fragmento, estructura"
