topic_id,num_docs,top_words
0,63,"the, que, del, picture, and, los, intentionally, las, neolítico, por"
1,13,"omit, picture, intentionally, que, los, del, las, una, como, por"
2,427,"the, picture, intentionally, omitted, resto, material, él, yacimiento, cal, fragmento"
